name,address,experience,skills,sal_from,sal_to
Инженер по искусственному интеллекту (middle/senior),Нижний Новгород,От 3 до 6 лет,"Глубокие знания Python, эмбеддингов, pytests Опыт обучения нейронных сетей Понимание архитектуры современных языковых моделей (langchain, RAG)",150000,200000
Computer vision Data Engineer,Москва,От 1 года до 3 лет,"Python, Tensorflow, OpenCV, Keras, Numpy",120000,170000
Data Analyst,Казань,От 1 года до 3 лет,"Python, SQL, Linux",180000,230000
Junior Data Analyst,Москва,От 1 года до 3 лет,"Отличное знание SQL: написания запросов, хранимых процедур, уверенное владение агрегирующими и оконными функциями, оптимизация запросов; Знание основ программирования (Python), опыт работы с экосистемой Hadoop (HDFS, Spark); Понимание основных концепций DWH, реляционных БД; Дополнительным преимуществом будет понимание методов и подходов машинного обучения",180000,230000
Data Scientist,Москва,От 1 года до 3 лет,"Python, SQL, PostgreSQL, Анализ данных, ORACLE, Git",270000,300000
Data scientist ML,Москва,От 1 года до 3 лет,"Python, SQL, Airflow, Hadoop, Git",70000,100000
Data Scientist,Москва,От 1 года до 3 лет,"DL фреймворки, NLP",210000,240000
"Математик-разработчик (Data Scientist), Маркетплейс, Цены и анализ конкурентов",Москва,От 1 года до 3 лет,"Python, Data science, IT, PySpark",120000,170000
Solution engineer (Junior),Москва,Нет опыта,"Python, SQL, bash",100000,120000
Data Scientist,Москва,От 1 года до 3 лет,"ML, Python, Machine Learning",300000,320000
Дата аналитик (Data Scientist),Новосибирск,От 1 года до 3 лет,"Python,  Linux, Jupyter notebook, git, SQL, matplotlib, pandas, numpy",55000,90000
Инженер данных,Казань,От 1 года до 3 лет,"Хорошее знание языков SQL, Python; Опыт работы с базами данных, с продуктами класса ETL, MPP; Знание архитектуры распределенных хранилищ данных; Опыт обогащения данных, интеграции смежных источников данных Опыт работы с серверными дистрибутивами ОС Linux – настройка сетевых интерфейсов, межсетевого экрана, управления разделами диска, мониторинга производительности, управления файловой системой Продвинутый уровень владения табличным процессором (MS Excel, OpenOffice/LibreOffice Calc, и т.п.), текстовым редактором (MS Word, OpenOffice/LibreOffice Writer и т.п.)",180000,230000
Дата Сайнтист,Москва,От 1 года до 3 лет,"TensorFlow, PyTorch, Keras, spaCy, Pandas, NumPy",180000,190000
